PerNo,PerStatus,sex,だ摸,戮单,紅跋絏,恨瞶糷,戈菌1,戈菌2,戈菌3,戈菌4,戈菌5,盡计,盡羆计,讽玡盡à︹,疭盡ゑ,翴,癡絤计A,癡絤计B,癡絤计C,ネ玻羆肂,篴臕计,琌ど綞,ど綞硉,る叫安计A,叫安计A,る叫安计B,叫安计B,畉计A,畉计B,畉栋い,罿单A,罿单B,罿单C,闹糷,盉猵,戈糷A,戈糷B,戈糷C,ヴ戮玡キА计,拨穨╰摸,膊妮秖,硄对Θセ,耴妮场,PerStatus,sex,だ摸,戮单,紅跋絏,恨瞶糷,戈菌1,戈菌2,戈菌3,戈菌4,戈菌5,盡计,盡羆计,讽玡盡à︹,疭盡ゑ,翴,癡絤计A,癡絤计B,癡絤计C,ネ玻羆肂,篴臕计,琌ど綞,ど綞硉,る叫安计A,叫安计A,る叫安计B,叫安计B,畉计A,畉计B,畉栋い,罿单A,罿单B,罿单C,闹糷,盉猵,戈糷A,戈糷B,戈糷C,ヴ戮玡キА计,拨穨╰摸,膊妮秖,硄对Θセ,耴妮场,痁计,畉计A,畉计B,叫安计A,叫安计B,痁计,畉计A,畉计B,叫安计A,叫安计B,痁计,畉计A,畉计B,叫安计A,叫安计B,痁计,畉计A,畉计B,叫安计A,叫安计B,痁计,畉计A,畉计B,叫安计A,叫安计B,痁计,畉计A,畉计B,叫安计A,叫安计B,痁计,畉计A,畉计B,叫安计A,叫安计B,痁计,畉计A,畉计B,叫安计A,叫安计B
6243.0,0.0,0.0,1.0,4.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,22.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,14.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,1.0,0.0,2.0,10.0,6.0,5.0,9.0,2.0,5.0,5.0,1.0,1.0,9.0,0.0,8.0,14195.0,0.0,0.0,1.0,4.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,22.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,9.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,1.0,0.0,2.0,10.0,4.0,2.0,9.0,2.0,5.0,5.0,1.0,1.0,9.0,0.0,8.0,14195.0,0,1,0,8,0,0,1,0,5,0,0,1,0,7,0,3,1,0,5,0,0,1,0,7,0,0,2,0,3,0,0,2,0,4,0,2,2,0,3,0
557.0,0.0,1.0,1.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,2.0,6.0,1.0,0.0,1.0,3.0,5.0,0.0,2.0,3.0,10.0,0.0,0.0,1.0,0.0,0.0,10.0,10.0,5.0,9.0,1.0,5.0,3.0,4.0,1.0,3.0,1.0,8.0,19043.0,0.0,1.0,1.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,5.0,5.0,6.0,0.0,0.0,1.0,8.0,3.0,0.0,2.0,4.0,9.0,0.0,0.0,1.0,0.0,0.0,10.0,4.0,5.0,8.0,1.0,4.0,3.0,4.0,1.0,3.0,1.0,8.0,19043.0,0,1,0,7,0,0,1,0,5,0,0,0,0,13,0,0,0,0,6,0,1,0,0,4,0,0,0,0,2,0,0,1,0,4,0,0,0,0,4,0
3767.0,0.0,0.0,2.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,5.0,9.0,1.0,5.0,4.0,2.0,1.0,8.0,3.0,8.0,20089.0,0.0,0.0,2.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,5.0,0.0,6.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,5.0,9.0,1.0,5.0,4.0,2.0,1.0,8.0,3.0,8.0,20089.0,0,0,0,2,0,0,0,0,2,0,0,0,0,10,0,0,0,0,3,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0
981.0,0.0,0.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,1.0,6.0,0.0,0.0,1.0,17.0,1.0,0.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,2.0,10.0,1.0,6.0,6.0,0.0,0.0,8.0,3.0,8.0,2197.0,0.0,0.0,1.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,1.0,6.0,0.0,0.0,2.0,52.0,1.0,0.0,5.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,2.0,10.0,1.0,6.0,6.0,0.0,0.0,8.0,3.0,8.0,2197.0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,8,0
6317.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,2.0,6.0,1.0,3.0,3.0,0.0,0.0,2.0,3.0,9.0,2058.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,2.0,5.0,1.0,3.0,3.0,0.0,0.0,2.0,3.0,9.0,2058.0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,5,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2202.0,0.0,1.0,1.0,4.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,9.0,6.0,0.0,0.0,6.0,2.0,0.0,0.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,2.0,8.0,1.0,4.0,4.0,0.0,0.0,5.0,0.0,8.0,18025.0,0.0,1.0,1.0,4.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,0.0,6.0,1.0,0.0,2.0,3.0,0.0,0.0,4.0,6.0,10.0,0.0,0.0,1.0,0.0,0.0,10.0,3.0,3.0,7.0,1.0,3.0,3.0,0.0,0.0,5.0,0.0,8.0,18025.0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,1,0,6,0
4987.0,0.0,0.0,2.0,3.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,5.0,1.0,1.0,5.0,1.0,0.0,5.0,1.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,4.0,1.0,2.0,6.0,1.0,4.0,10.0,1.0,5.0,5.0,1.0,1.0,9.0,2.0,9.0,16120.0,0.0,0.0,2.0,3.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,1.0,0.0,5.0,0.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,4.0,1.0,2.0,6.0,1.0,4.0,10.0,1.0,5.0,5.0,1.0,1.0,9.0,2.0,9.0,16120.0,0,5,0,2,0,0,5,0,3,0,0,5,0,2,0,3,6,2,2,0,0,4,0,3,0,0,4,0,2,0,2,5,0,12,0,1,6,1,1,0
55.0,0.0,1.0,1.0,3.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,5.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,1.0,0.0,1.0,7.0,1.0,4.0,11.0,1.0,6.0,6.0,0.0,0.0,1.0,1.0,9.0,16121.0,0.0,1.0,1.0,3.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,1.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,4.0,8.0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,4.0,11.0,1.0,5.0,5.0,0.0,0.0,1.0,1.0,9.0,16070.0,0,1,0,10,0,0,1,0,3,0,0,1,0,3,0,0,1,0,3,0,0,1,0,4,0,0,1,2,3,0,0,1,0,3,0,0,1,0,4,0
4187.0,0.0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,5.0,0.0,6.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,2.0,4.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,8.0,20019.0,0.0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0,6.0,0.0,8.0,20019.0,0,1,0,2,0,0,1,0,0,0,1,0,0,1,0,0,1,0,13,0,0,0,0,1,0,1,1,0,3,0,0,0,0,1,0,0,0,0,5,0
4158.0,0.0,1.0,1.0,7.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,1.0,5.0,3.0,0.0,2.0,100.0,0.0,0.0,2.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,5.0,10.0,2.0,5.0,1.0,2.0,2.0,1.0,1.0,8.0,1.0,8.0,16178.0,0.0,1.0,1.0,7.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,5.0,1.0,5.0,6.0,2.0,2.0,100.0,0.0,0.0,2.0,3.0,8.0,0.0,0.0,1.0,1.0,0.0,5.0,9.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,8.0,0.0,8.0,16178.0,0,1,0,3,0,0,1,0,3,0,0,1,0,4,0,0,1,0,2,0,0,1,0,6,0,0,1,0,7,0,0,2,0,3,0,0,1,1,6,0
