PerNo,PerStatus,sex,工作分類,職等,廠區代碼,管理層級,工作資歷1,工作資歷2,工作資歷3,工作資歷4,工作資歷5,專案時數,專案總數,當前專案角色,特殊專案佔比,工作地點,訓練時數A,訓練時數B,訓練時數C,生產總額,榮譽數,是否升遷,升遷速度,近三月請假數A,近一年請假數A,近三月請假數B,近一年請假數B,出差數A,出差數B,出差集中度,年度績效等級A,年度績效等級B,年度績效等級C,年齡層級,婚姻狀況,年資層級A,年資層級B,年資層級C,任職前工作平均年數,畢業科系類別,眷屬量,通勤成本,歸屬部門,PerStatus,sex,工作分類,職等,廠區代碼,管理層級,工作資歷1,工作資歷2,工作資歷3,工作資歷4,工作資歷5,專案時數,專案總數,當前專案角色,特殊專案佔比,工作地點,訓練時數A,訓練時數B,訓練時數C,生產總額,榮譽數,是否升遷,升遷速度,近三月請假數A,近一年請假數A,近三月請假數B,近一年請假數B,出差數A,出差數B,出差集中度,年度績效等級A,年度績效等級B,年度績效等級C,年齡層級,婚姻狀況,年資層級A,年資層級B,年資層級C,任職前工作平均年數,畢業科系類別,眷屬量,通勤成本,歸屬部門,加班數,出差數A,出差數B,請假數A,請假數B,加班數,出差數A,出差數B,請假數A,請假數B,加班數,出差數A,出差數B,請假數A,請假數B,加班數,出差數A,出差數B,請假數A,請假數B,加班數,出差數A,出差數B,請假數A,請假數B,加班數,出差數A,出差數B,請假數A,請假數B,加班數,出差數A,出差數B,請假數A,請假數B,加班數,出差數A,出差數B,請假數A,請假數B
5733.0,1.0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,2.0,0.0,6.0,1.0,2.0,4.0,14.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,5.0,1.0,2.0,1.0,1.0,1.0,8.0,2.0,8.0,8074.0,0.0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,5.0,1.0,6.0,6.0,5.0,1.0,8.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,5.0,1.0,2.0,1.0,1.0,1.0,8.0,2.0,6.0,8074.0,0,1,0,3,0,0,0,0,2,0,0,1,0,1,0,0,0,1,3,0,0,0,0,2,0,0,0,1,1,0,0,0,3,1,0,1,0,0,3,0
6975.0,0.0,1.0,1.0,3.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,0.0,6.0,0.0,2.0,1.0,16.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,2.0,1.0,2.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1.0,5.0,0.0,8.0,20089.0,0.0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,0.0,6.0,0.0,2.0,1.0,15.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,5.0,0.0,8.0,20089.0,0,2,0,7,0,1,1,0,3,0,9,3,2,4,0,0,3,0,3,0,1,1,0,1,0,0,1,0,6,0,1,1,1,2,0,0,1,0,2,0
5875.0,0.0,1.0,1.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,11.0,1.0,1.0,1.0,4.0,9.0,0.0,0.0,1.0,0.0,1.0,1.0,9.0,5.0,7.0,1.0,2.0,2.0,0.0,0.0,8.0,3.0,13.0,14067.0,0.0,1.0,1.0,4.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0,5.0,2.0,6.0,0.0,0.0,2.0,14.0,0.0,0.0,3.0,4.0,10.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,4.0,7.0,1.0,2.0,2.0,0.0,0.0,8.0,3.0,13.0,14067.0,0,0,0,7,0,0,1,0,5,0,0,1,0,6,0,1,1,0,8,0,0,1,0,3,0,0,1,0,3,0,0,1,0,5,0,0,1,0,4,0
5393.0,0.0,0.0,1.0,4.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,1.0,6.0,0.0,0.0,2.0,14.0,1.0,0.0,1.0,4.0,7.0,0.0,0.0,2.0,0.0,1.0,10.0,1.0,5.0,4.0,1.0,2.0,2.0,0.0,1.0,9.0,0.0,14.0,17041.0,0.0,0.0,1.0,4.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,1.0,1.0,6.0,0.0,0.0,1.0,16.0,1.0,0.0,1.0,5.0,7.0,0.0,0.0,2.0,0.0,3.0,10.0,10.0,5.0,4.0,1.0,2.0,2.0,0.0,1.0,9.0,0.0,14.0,17041.0,0,1,0,5,0,0,1,0,2,0,0,2,0,6,0,0,1,0,7,0,0,1,0,3,0,0,3,0,2,0,0,3,0,3,0,0,2,0,4,0
7201.0,0.0,0.0,2.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,3.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,2.0,9.0,1.0,5.0,4.0,2.0,1.0,2.0,2.0,8.0,16121.0,0.0,0.0,2.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,3.0,0.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,10.0,2.0,2.0,8.0,1.0,5.0,4.0,2.0,1.0,2.0,2.0,8.0,16121.0,1,0,0,4,0,0,0,0,3,0,0,0,0,12,0,1,0,0,4,0,2,0,0,1,0,0,1,0,2,0,1,0,0,7,0,1,0,0,1,0
2303.0,0.0,0.0,2.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,8.0,2.0,9.0,1.0,5.0,2.0,5.0,3.0,9.0,2.0,8.0,20208.0,0.0,0.0,2.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,5.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,9.0,1.0,5.0,2.0,5.0,3.0,9.0,2.0,8.0,20208.0,0,3,0,2,0,0,2,0,2,0,0,1,0,4,0,0,1,0,9,0,0,1,0,2,0,0,0,0,2,0,0,1,0,4,0,0,1,0,2,0
7723.0,0.0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,5.0,0.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,10.0,5.0,2.0,5.0,1.0,1.0,1.0,0.0,1.0,8.0,1.0,8.0,8181.0,0.0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,0.0,6.0,1.0,0.0,1.0,7.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,2.0,5.0,1.0,1.0,1.0,0.0,1.0,8.0,0.0,8.0,8181.0,0,0,0,2,0,0,1,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0
2699.0,0.0,1.0,1.0,3.0,20.0,4.0,0.0,1.0,0.0,0.0,1.0,22.0,2.0,1.0,1.0,6.0,0.0,0.0,3.0,5.0,0.0,0.0,2.0,3.0,9.0,0.0,0.0,1.0,1.0,2.0,2.0,7.0,4.0,5.0,1.0,3.0,3.0,0.0,0.0,5.0,1.0,8.0,20208.0,0.0,1.0,1.0,3.0,20.0,4.0,0.0,1.0,0.0,0.0,1.0,22.0,1.0,5.0,0.0,6.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,3.0,8.0,0.0,0.0,1.0,0.0,1.0,2.0,10.0,5.0,5.0,1.0,3.0,3.0,0.0,0.0,5.0,1.0,8.0,20208.0,0,2,0,10,0,1,1,0,5,0,1,1,0,7,0,2,1,1,6,0,1,1,0,4,0,3,1,0,2,0,1,1,0,4,0,2,1,0,3,0
6526.0,0.0,0.0,1.0,4.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,1.0,5.0,0.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,2.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,7.0,5.0,5.0,1.0,2.0,2.0,1.0,0.0,5.0,2.0,8.0,20019.0,0.0,0.0,1.0,4.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,1.0,5.0,0.0,6.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,0.0,5.0,2.0,8.0,20019.0,0,0,0,11,0,0,0,0,9,0,0,0,0,9,0,0,0,0,3,3,0,0,0,3,0,0,0,0,7,0,0,0,0,2,0,0,0,0,3,0
5863.0,1.0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,2.0,5.0,1.0,6.0,0.0,15.0,1.0,4.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,1.0,9.0,1.0,1.0,7.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,6.0,0.0,8.0,20037.0,0.0,1.0,1.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,23.0,1.0,5.0,0.0,6.0,0.0,4.0,6.0,2.0,0.0,0.0,1.0,2.0,7.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,5.0,5.0,2.0,1.0,1.0,0.0,0.0,6.0,0.0,8.0,20037.0,6,2,0,5,0,1,1,14,0,0,0,0,0,0,0,0,1,1,2,0,3,0,3,4,0,0,1,0,3,0,1,0,0,3,0,11,2,0,3,0
